Generating Solution for Advent of Code 2020 - Day 4 / Part 2
Reading input file data/day4-input.txt to solve Day 4 Part 2
Passport 1, ecl:, grt, Invalid
Passport 2, pid:, 937877382, Valid
Passport 2, eyr:, 2029, Valid
Passport 2, ecl:, amb, Valid
Passport 2, iyr:, 2019, Valid
Passport 2, hgt:, 187cm, Valid
Passport 2, hcl:, #888785, Valid
Passport 2, byr:, 1933, Valid
Passport 3, ecl:, hzl, Valid
Passport 3, eyr:, 2020, Valid
Passport 3, hcl:, #18171d, Valid
Passport 3, iyr:, 2019, Valid
Passport 3, hgt:, 183cm, Valid
Passport 3, byr:, 1935, Valid
Passport 4, hcl:, #7d3b0c, Valid
Passport 4, hgt:, 183cm, Valid
Passport 4, pid:, 138000309, Valid
Passport 4, eyr:, 2024, Valid
Passport 4, byr:, 1992, Valid
Passport 4, iyr:, 2013, Valid
Passport 4, ecl:, oth, Valid
Passport 5, ecl:, hzl, Valid
Passport 5, pid:, 346059944, Valid
Passport 5, eyr:, 1924, Invalid
Passport 6, iyr:, 2011, Valid
Passport 6, ecl:, amb, Valid
Passport 6, eyr:, 2030, Valid
Passport 6, hcl:, #18171d, Valid
Passport 6, pid:, 897123249, Valid
Passport 6, byr:, 1948, Valid
Passport 6, hgt:, 165cm, Valid
Passport 7, ecl:, gry, Valid
Passport 7, pid:, 827609097, Valid
Passport 7, hcl:, #cfa07d, Valid
Passport 7, byr:, 1963, Valid
Passport 7, iyr:, 2017, Valid
Passport 7, eyr:, 2029, Valid
Passport 7, hgt:, 72in, Valid
Passport 8, ecl:, hzl, Valid
Passport 8, eyr:, 2028, Valid
Passport 8, hcl:, #6b5442, Valid
Passport 8, iyr:, 2016, Valid
Passport 8, hgt:, 152cm, Valid
Passport 8, pid:, 432183209, Valid
Passport 8, byr:, 1984, Valid
Passport 9, ecl:, hzl, Valid
Passport 9, pid:, 626107466, Valid
Passport 9, hcl:, #888785, Valid
Passport 9, byr:, 1929, Valid
Passport 9, iyr:, 2013, Valid
Passport 9, hgt:, 169cm, Valid
Passport 9, eyr:, 2026, Valid
Passport 10, ecl:, blu, Valid
Passport 10, eyr:, 2023, Valid
Passport 10, hcl:, #bdb95d, Valid
Passport 10, byr:, 1935, Valid
Passport 10, iyr:, 2011, Valid
Passport 10, hgt:, 64cm, Invalid
Passport 11, iyr:, 2017, Valid
Passport 11, byr:, 1943, Valid
Passport 11, pid:, 621305634, Valid
Passport 11, hcl:, #888785, Valid
Passport 11, hgt:, 193cm, Valid
Passport 11, ecl:, amb, Valid
Passport 11, eyr:, 2024, Valid
Passport 12, ecl:, gry, Valid
Passport 12, pid:, 936999610, Valid
Passport 12, eyr:, 2029, Valid
Passport 12, hcl:, #a97842, Valid
Passport 12, byr:, 1991, Valid
Passport 12, iyr:, 2017, Valid
Passport 12, hgt:, 175cm, Valid
Passport 13, ecl:, gry, Valid
Passport 13, hcl:, #866857, Valid
Passport 13, byr:, 1975, Valid
Passport 13, hgt:, 71in, Valid
Passport 13, pid:, 180628540, Valid
Passport 13, eyr:, 2020, Valid
Passport 13, iyr:, 2017, Valid
